open_plus_X,kill_eod,SL,TP,rok,obchodu,uspesnost,usd
15,1,40.0,50.0,2021,114,0.588,14050.0
15,1,40.0,50.0,2022,169,0.479,-23762.5
15,1,40.0,50.0,2023,138,0.543,6000.0
15,1,40.0,50.0,2024,125,0.584,7862.5
15,1,40.0,50.0,2025,152,0.579,14162.5
15,1,40.0,50.0,2026,96,0.5,-5925.0
15,0,40.0,25.0,2016,7,0.857,5325.0
15,0,40.0,25.0,2017,9,0.778,4525.0
15,0,40.0,25.0,2018,63,0.587,-6487.5
15,0,40.0,25.0,2019,45,0.756,19375.0
15,0,40.0,25.0,2020,118,0.636,4887.5
15,0,40.0,25.0,2021,102,0.696,24200.0
15,0,40.0,25.0,2022,165,0.588,-18875.0
15,0,40.0,25.0,2023,117,0.624,325.0
15,0,40.0,25.0,2024,110,0.645,8000.0
15,0,40.0,25.0,2025,145,0.621,25.0
15,0,40.0,25.0,2026,94,0.596,-11475.0
15,1,7.5,80.0,2016,8,0.5,1262.5
15,1,7.5,80.0,2017,14,0.357,-1137.5
15,1,7.5,80.0,2018,80,0.275,-4187.5
15,1,7.5,80.0,2019,52,0.481,2075.0
15,1,7.5,80.0,2020,127,0.315,200.0
15,1,7.5,80.0,2021,114,0.421,13912.5
15,1,7.5,80.0,2022,169,0.178,800.0
15,1,7.5,80.0,2023,138,0.297,3987.5
15,1,7.5,80.0,2024,125,0.312,1500.0
15,1,7.5,80.0,2025,152,0.257,-237.5
15,1,7.5,80.0,2026,96,0.219,5087.5
15,0,15.0,10.0,2016,8,0.875,2550.0
15,0,15.0,10.0,2017,14,0.643,400.0
15,0,15.0,10.0,2018,79,0.62,25.0
15,0,15.0,10.0,2019,52,0.788,10150.0
15,0,15.0,10.0,2020,127,0.677,8900.0
15,0,15.0,10.0,2021,114,0.719,14150.0
15,0,15.0,10.0,2022,169,0.568,-10975.0
15,0,15.0,10.0,2023,138,0.565,-9450.0
15,0,15.0,10.0,2024,125,0.648,4375.0
15,0,15.0,10.0,2025,152,0.658,8887.5
15,0,15.0,10.0,2026,96,0.646,3100.0
15,0,7.5,7.5,2016,8,0.5,-200.0
15,0,7.5,7.5,2017,14,0.5,-350.0
15,0,7.5,7.5,2018,80,0.45,-5000.0
15,0,7.5,7.5,2019,52,0.596,1275.0
15,0,7.5,7.5,2020,127,0.575,3950.0
15,0,7.5,7.5,2021,114,0.605,6150.0
15,0,7.5,7.5,2022,169,0.515,-2350.0
15,0,7.5,7.5,2023,138,0.5,-3450.0
15,0,7.5,7.5,2024,125,0.552,1750.0
15,0,7.5,7.5,2025,152,0.559,2950.0
15,0,7.5,7.5,2026,96,0.49,-3150.0
15,0,7.5,5.0,2016,8,0.75,550.0
15,0,7.5,5.0,2017,14,0.571,-600.0
15,0,7.5,5.0,2018,80,0.538,-5125.0
15,0,7.5,5.0,2019,52,0.673,-100.0
15,0,7.5,5.0,2020,127,0.638,-162.5
15,0,7.5,5.0,2021,114,0.684,3150.0
15,0,7.5,5.0,2022,169,0.609,-3225.0
15,0,7.5,5.0,2023,138,0.601,-3325.0
15,0,7.5,5.0,2024,125,0.664,1875.0
15,0,7.5,5.0,2025,152,0.618,-2050.0
15,0,7.5,5.0,2026,96,0.573,-4025.0
15,1,7.5,15.0,2016,8,0.5,875.0
15,1,7.5,15.0,2017,14,0.357,-1137.5
15,1,7.5,15.0,2018,80,0.325,-4825.0
15,1,7.5,15.0,2019,52,0.558,6950.0
15,1,7.5,15.0,2020,127,0.409,4150.0
15,1,7.5,15.0,2021,114,0.482,14037.5
15,1,7.5,15.0,2022,169,0.349,-2225.0
15,1,7.5,15.0,2023,138,0.362,-3387.5
15,1,7.5,15.0,2024,125,0.368,-1800.0
15,1,7.5,15.0,2025,152,0.395,5012.5
15,1,7.5,15.0,2026,96,0.323,-3775.0
10,1,12.5,80.0,2016,20,0.4,2287.5
10,1,12.5,80.0,2017,38,0.526,0.0
10,1,12.5,80.0,2018,119,0.42,-537.5
10,1,12.5,80.0,2019,100,0.52,8812.5
10,1,12.5,80.0,2020,153,0.379,-7850.0
10,1,12.5,80.0,2021,149,0.523,24187.5
10,1,12.5,80.0,2022,201,0.269,6775.0
10,1,12.5,80.0,2023,173,0.341,-7337.5
10,1,12.5,80.0,2024,161,0.398,7762.5
10,1,12.5,80.0,2025,180,0.333,8362.5
10,1,12.5,80.0,2026,110,0.3,2975.0
15,1,40.0,7.5,2016,8,0.625,812.5
15,1,40.0,7.5,2017,14,0.429,-350.0
15,1,40.0,7.5,2018,80,0.588,-14225.0
15,1,40.0,7.5,2019,52,0.692,5100.0
15,1,40.0,7.5,2020,127,0.772,4337.5
15,1,40.0,7.5,2021,114,0.719,-800.0
15,1,40.0,7.5,2022,169,0.817,-9837.5
15,1,40.0,7.5,2023,138,0.703,-8712.5
15,1,40.0,7.5,2024,125,0.808,4125.0
15,1,40.0,7.5,2025,152,0.829,5412.5
15,1,40.0,7.5,2026,96,0.833,5362.5
15,1,5.0,80.0,2016,8,0.375,1062.5
15,1,5.0,80.0,2017,14,0.357,-1037.5
15,1,5.0,80.0,2018,80,0.225,-3862.5
15,1,5.0,80.0,2019,52,0.442,3237.5
15,1,5.0,80.0,2020,127,0.244,-1275.0
15,1,5.0,80.0,2021,114,0.316,7750.0
15,1,5.0,80.0,2022,169,0.142,4637.5
15,1,5.0,80.0,2023,138,0.232,4162.5
15,1,5.0,80.0,2024,125,0.248,3737.5
15,1,5.0,80.0,2025,152,0.191,2900.0
15,1,5.0,80.0,2026,96,0.167,6612.5
15,1,7.5,7.5,2016,8,0.5,112.5
15,1,7.5,7.5,2017,14,0.429,-375.0
15,1,7.5,7.5,2018,80,0.388,-6450.0
15,1,7.5,7.5,2019,52,0.596,2700.0
15,1,7.5,7.5,2020,127,0.559,2325.0
15,1,7.5,7.5,2021,114,0.579,5450.0
15,1,7.5,7.5,2022,169,0.515,-2350.0
15,1,7.5,7.5,2023,138,0.493,-3837.5
15,1,7.5,7.5,2024,125,0.56,2200.0
15,1,7.5,7.5,2025,152,0.559,2975.0
15,1,7.5,7.5,2026,96,0.49,-2925.0
10,0,12.5,30.0,2016,13,0.462,4300.0
10,0,12.5,30.0,2017,29,0.448,8775.0
10,0,12.5,30.0,2018,106,0.33,6287.5
10,0,12.5,30.0,2019,83,0.41,17587.5
10,0,12.5,30.0,2020,146,0.349,13475.0
10,0,12.5,30.0,2021,138,0.413,31625.0
10,0,12.5,30.0,2022,201,0.313,2937.5
10,0,12.5,30.0,2023,163,0.294,-3950.0
10,0,12.5,30.0,2024,155,0.316,3375.0
10,0,12.5,30.0,2025,180,0.294,-4825.0
10,0,12.5,30.0,2026,110,0.282,-5625.0
10,1,40.0,15.0,2016,20,0.4,475.0
10,1,40.0,15.0,2017,38,0.526,-437.5
10,1,40.0,15.0,2018,119,0.529,-10550.0
10,1,40.0,15.0,2019,100,0.54,6700.0
10,1,40.0,15.0,2020,153,0.647,3712.5
10,1,40.0,15.0,2021,149,0.644,6137.5
10,1,40.0,15.0,2022,201,0.657,-20525.0
10,1,40.0,15.0,2023,173,0.607,-3250.0
10,1,40.0,15.0,2024,161,0.665,12025.0
10,1,40.0,15.0,2025,180,0.7,21862.5
10,1,40.0,15.0,2026,110,0.691,-1212.5
10,0,10.0,15.0,2016,19,0.526,2525.0
10,0,10.0,15.0,2017,36,0.444,1100.0
10,0,10.0,15.0,2018,115,0.461,5875.0
10,0,10.0,15.0,2019,98,0.551,15237.5
10,0,10.0,15.0,2020,152,0.48,11550.0
10,0,10.0,15.0,2021,147,0.51,16575.0
10,0,10.0,15.0,2022,201,0.403,-4275.0
10,0,10.0,15.0,2023,173,0.358,-13325.0
10,0,10.0,15.0,2024,159,0.44,4025.0
10,0,10.0,15.0,2025,180,0.461,9250.0
10,0,10.0,15.0,2026,110,0.418,-250.0
10,1,15.0,15.0,2016,20,0.4,512.5
10,1,15.0,15.0,2017,38,0.526,-37.5
10,1,15.0,15.0,2018,119,0.496,-2750.0
10,1,15.0,15.0,2019,100,0.54,7837.5
10,1,15.0,15.0,2020,153,0.549,7500.0
10,1,15.0,15.0,2021,149,0.577,11800.0
10,1,15.0,15.0,2022,201,0.478,-9900.0
10,1,15.0,15.0,2023,173,0.439,-19950.0
10,1,15.0,15.0,2024,161,0.534,4200.0
10,1,15.0,15.0,2025,180,0.561,12675.0
10,1,15.0,15.0,2026,110,0.536,1812.5
15,1,15.0,7.5,2016,8,0.625,812.5
15,1,15.0,7.5,2017,14,0.429,-350.0
15,1,15.0,7.5,2018,80,0.525,-8037.5
15,1,15.0,7.5,2019,52,0.673,5087.5
15,1,15.0,7.5,2020,127,0.669,-750.0
15,1,15.0,7.5,2021,114,0.675,5437.5
15,1,15.0,7.5,2022,169,0.651,-7012.5
15,1,15.0,7.5,2023,138,0.616,-8675.0
15,1,15.0,7.5,2024,125,0.712,3200.0
15,1,15.0,7.5,2025,152,0.684,362.5
15,1,15.0,7.5,2026,96,0.688,450.0
15,1,20.0,40.0,2016,8,0.625,2787.5
15,1,20.0,40.0,2017,14,0.357,-837.5
15,1,20.0,40.0,2018,80,0.425,-5450.0
15,1,20.0,40.0,2019,52,0.596,8575.0
15,1,20.0,40.0,2020,127,0.48,-3287.5
15,1,20.0,40.0,2021,114,0.561,18375.0
15,1,20.0,40.0,2022,169,0.402,-1887.5
15,1,20.0,40.0,2023,138,0.486,862.5
15,1,20.0,40.0,2024,125,0.536,9100.0
15,1,20.0,40.0,2025,152,0.48,10937.5
15,1,20.0,40.0,2026,96,0.448,6075.0
10,1,20.0,5.0,2016,20,0.45,-1175.0
10,1,20.0,5.0,2017,38,0.579,400.0
10,1,20.0,5.0,2018,119,0.731,800.0
10,1,20.0,5.0,2019,100,0.65,-2962.5
10,1,20.0,5.0,2020,153,0.778,-3975.0
10,1,20.0,5.0,2021,149,0.792,575.0
10,1,20.0,5.0,2022,201,0.731,-21287.5
10,1,20.0,5.0,2023,173,0.74,-13400.0
10,1,20.0,5.0,2024,161,0.789,-2687.5
10,1,20.0,5.0,2025,180,0.794,1087.5
10,1,20.0,5.0,2026,110,0.782,-5250.0
