vystup,RRR,vstup,X,obchodu,TP,SL,EOD,b_obchod,t,usd,maxdd,kladne_roky,nahodny_long_usd,nad_nahodou_usd
hold,2:1,momentum,20,837,306,531,0,1.4387694145758663,1.4347547192736398,60212.5,-27287.5,8/11,81662.08333333333,-21449.58333333333
hold,2:1,momentum,30,584,209,375,0,0.964041095890411,0.8038476540875692,28150.0,-22525.0,5/10,81662.08333333333,-53512.08333333333
hold,2:1,momentum,40,374,124,250,0,-0.8028074866310161,-0.5401989574176542,-15012.5,-34850.0,4/10,81662.08333333333,-96674.58333333333
hold,2:1,fade,10,1182,412,770,0,0.39488155668358715,0.4708100585800745,23337.5,-56075.0,7/11,81662.08333333333,-58324.58333333333
hold,2:1,fade,15,1013,351,662,0,0.22309970384995065,0.24662610782821484,11300.0,-46012.5,7/11,81662.08333333333,-70362.08333333333
hold,2:1,fade,20,890,308,582,0,0.19775280898876405,0.20435019770942203,8800.0,-51812.5,7/11,81662.08333333333,-72862.08333333333
hold,2:1,fade,30,624,188,436,0,-2.4110576923076925,-2.160060529615669,-75225.0,-84800.0,1/11,81662.08333333333,-156887.0833333333
hold,2:1,fade,40,445,137,308,0,-2.148876404494382,-1.6234214015725763,-47812.5,-67450.0,3/10,81662.08333333333,-129474.58333333333
hold,3:1,momentum,10,1046,289,756,0,1.5779158699808795,1.4237498039414527,82525.0,-33262.5,10/11,94313.75,-11788.75
hold,3:1,momentum,15,892,249,642,0,1.7438340807174888,1.4468553967581388,77775.0,-37150.0,7/11,94313.75,-16538.75
hold,3:1,momentum,20,778,209,569,0,0.9016709511568124,0.7070149802457976,35075.0,-46750.0,7/11,94313.75,-59238.75
hold,3:1,momentum,30,554,142,412,0,-0.18231046931407943,-0.12195085564334407,-5050.0,-38525.0,5/10,94313.75,-99363.75
hold,3:1,momentum,40,365,92,273,0,-0.6390410958904109,-0.34743364315371816,-11662.5,-39900.0,5/10,94313.75,-105976.25
hold,3:1,fade,10,1053,284,769,0,0.9881291547958214,0.8992793494470764,52025.0,-59262.5,8/11,94313.75,-42288.75
hold,3:1,fade,15,904,240,664,0,0.6097898230088495,0.5163210178051586,27562.5,-41675.0,7/11,94313.75,-66751.25
hold,3:1,fade,20,822,222,600,0,0.9647201946472019,0.7725291169062289,39650.0,-53400.0,8/11,94313.75,-54663.75
hold,3:1,fade,30,594,136,458,0,-2.2504208754208754,-1.6188504889187552,-66837.5,-82437.5,2/11,94313.75,-161151.25
hold,3:1,fade,40,434,99,335,0,-2.3963133640552994,-1.479472472344488,-52000.0,-78037.5,3/10,94313.75,-146313.75
